ArcticDEM Mosaic Tile Metadata 
Creation Date: 27-May-2018 05:33:35
Version: 3.0

Mosaicking Alignment Statistics (meters) in rank order
strip, rmse, dz, dx, dy
WV01_20160215_102001004BC63400_102001004879D800_seg1_2m 0.00 0.0000 0.0000 0.0000
WV03_20160209_104001001814B300_1040010018787E00_seg1_2m 0.42 -1.5469 7.6807 -0.3521
WV01_20140516_102001002E2EF600_102001002E56BE00_seg1_2m 0.39 3.7297 4.8939 -1.9148
WV02_20160419_1030010054423000_1030010055975200_seg1_2m 0.46 1.4213 7.2572 -2.5904
WV02_20160422_1030010055B9ED00_1030010055CE2600_seg1_2m 0.41 -2.1673 3.7599 -7.4434
WV01_20120901_102001001C296600_102001001DDE0E00_seg1_2m 0.40 1.7280 2.9493 -0.5686
WV01_20151024_10200100450A3100_1020010043918B00_seg1_2m 0.43 2.7536 3.9361 2.9857
WV01_20140424_102001002E0F0B00_102001002B215100_seg1_2m 0.37 1.9385 5.2332 0.3391
WV01_20160820_1020010054421A00_10200100514A7600_seg1_2m 0.37 2.1716 7.6876 4.2096
WV02_20160419_10300100555F5200_1030010054C35600_seg1_2m 0.42 6.5274 8.4483 -0.7177
WV02_20121128_103001001D9CC200_103001001D613400_seg1_2m 0.57 2.0190 5.8831 4.5978
WV01_20160526_102001005139DF00_1020010050377000_seg1_2m 0.60 -0.2467 4.9962 0.5667
WV03_20160221_10400100192DE900_104001001805C200_seg1_2m 0.53 -2.0019 4.4606 0.1136
WV01_20140923_1020010035E05F00_10200100324D0700_seg1_2m 0.47 -2.4920 1.2279 0.9718
WV01_20140722_10200100324AEB00_1020010032927800_seg1_2m 0.43 -1.8582 1.1881 -1.5429
WV01_20150805_1020010041DDE100_1020010041A1BF00_seg1_2m 0.44 1.3779 -2.1239 2.1187
WV01_20120724_102001001B439000_102001001BB23C00_seg1_2m 0.53 1.7264 -2.9945 1.9415
WV01_20140528_102001002E80D300_102001002D23F600_seg1_2m 0.52 -0.0795 -0.4254 -1.5656
WV03_20160417_104001001C755A00_104001001B80E500_seg1_2m 0.52 -0.8037 2.8885 -0.4711
WV02_20160306_10300100543EBB00_10300100522AF200_seg1_2m 0.60 -2.1528 1.7554 2.5778
WV03_20160703_104001001E915A00_104001001F849400_seg1_2m 0.59 1.5736 6.1210 0.8374
WV03_20160506_104001001BB37A00_104001001BD3C700_seg3_2m 0.56 -1.5513 1.9467 -2.3334
WV01_20131109_10200100254D5B00_10200100270DDB00_seg1_2m 0.58 1.1309 -1.7625 0.3574
WV01_20160923_1020010056B28D00_102001005665B400_seg1_2m 0.67 1.0792 0.6823 -0.2664
WV01_20160227_102001004D7C7500_102001004AB53C00_seg1_2m 0.61 -1.7031 -4.6721 -1.7243
WV03_20170406_104001002B528300_104001002A761500_seg3_2m 0.64 0.5230 3.9217 -0.9405
WV01_20140713_10200100328A4C00_102001002FBE7000_seg1_2m 0.65 -1.0765 2.4882 1.6565
WV02_20160418_103001005554F300_10300100558F7700_seg1_2m 0.69 0.0254 0.9982 2.9830
W2W2_20160221_10300100502C5C00_1030010052489300_seg1_2m 0.71 -2.1503 1.1620 1.0331
WV02_20160229_10300100502C5C00_1030010054CFCD00_seg1_2m 0.69 -2.3505 3.4331 -3.6994
WV02_20121125_103001001DB75200_103001001D1D6E00_seg1_2m 0.74 -1.7900 2.6882 1.4387
WV01_20160215_10200100496BFF00_102001004977C300_seg1_2m 0.70 0.7310 1.6774 2.6935
W1W2_20130307_102001002174C900_103001002006C200_seg2_2m 0.79 -2.3360 4.0512 3.8513
WV01_20121125_102001001E79D500_102001001CBA4B00_seg1_2m 0.79 -1.4050 -1.1963 2.0003
WV01_20141121_1020010037B57900_1020010037A4A400_seg1_2m 0.74 -0.6559 0.1983 0.0068
WV02_20160923_103001005D1BA900_103001005C4BAF00_seg1_2m 0.83 -1.5071 3.4651 -0.6966
WV01_20130914_1020010023042500_1020010025693100_seg1_2m 0.79 0.2655 -1.2066 1.2358
WV02_20121120_103001001DA8AA00_103001001CBEDF00_seg1_2m 0.78 -3.6305 1.2250 1.2551
WV01_20160219_1020010049B67000_102001004D3D9900_seg1_2m 0.88 -1.4538 0.0254 -0.0304
WV02_20131230_103001002A99E000_1030010029437A00_seg1_2m 1.04 -2.1801 5.8902 -6.9817
WV02_20131121_10300100294CFE00_103001002981A300_seg1_2m 1.00 -3.2643 2.9894 -3.0720
WV01_20130120_102001001FEBE800_102001001D2DC800_seg1_2m 1.04 -1.6677 -0.2436 0.3174
WV01_20160207_102001004AB13B00_102001004DB0CA00_seg1_2m 1.11 4.4845 -2.3952 -2.0526
WV02_20151001_1030010049C63C00_103001004A4E6700_seg1_2m 1.29 1.8363 4.4016 0.9735
WV01_20150426_102001003D849300_102001003E07A500_seg1_2m 0.76 1.2290 5.2313 3.5728
WV01_20160202_102001004A526700_102001004BA01400_seg1_2m 1.22 -0.5908 1.4745 1.7369
W1W2_20130307_102001001F467500_103001002006C200_seg1_2m 1.11 -0.9077 1.9825 3.5148
WV02_20130110_103001001E307600_103001001E101600_seg1_2m 1.54 -1.4486 6.7462 -3.5189
WV01_20160815_1020010053247600_1020010054863D00_seg1_2m 1.52 1.3588 5.3313 3.4273
W1W3_20160207_102001004DB0CA00_1040010018787E00_seg2_2m 1.83 4.8815 3.5566 0.7691
